state,city,location_id,latitude,longitude
Andhra Pradesh,Kurnool,127,15.830925,78.042537
Sikkim,Gangtok,128,27.329046,88.612267
Sikkim,Pelling,129,27.300372,88.23565
Sikkim,Namchi,130,27.303102,88.378596
Sikkim,Ravangla,131,27.305127,88.364472
Assam,Guwahati,132,26.180598,91.753943
Assam,Kaziranga,133,26.658105,93.392744
Arunachal Pradesh,Tawang,134,27.587919,91.863733
Tripura,Agartala,135,23.831238,91.282382
Nagaland,Kohima,136,25.661876,94.101916
Meghalaya,Cherrapunji,137,25.277734,91.729242
Chhattisgarh,Bastar,138,19.119128,81.829187
Chhattisgarh,Raipur,139,21.238091,81.633699
Jharkhand,Deoghar,140,24.489832,86.699018
Jharkhand,Ranchi,141,23.37005,85.325039
Bihar,Bodh Gaya,142,24.6979,84.9921
Bihar,Patna,143,25.609324,85.123525
Haryana,Gurugram,144,28.464615,77.029919
Uttarakhand,Kedarnath,145,30.733888,79.066907
Puducherry,Puducherry,146,11.934057,79.830645
Andaman and Nicobar Islands,Port Blair,147,11.664535,92.739045
Delhi,New Delhi,148,28.613895,77.209006
Haryana,Gurgaon,149,28.428262,77.0027
Uttar Pradesh,Noida,150,28.570633,77.327215
Uttar Pradesh,Ghaziabad,151,28.774997,77.458697
Haryana,Faridabad,152,28.403148,77.310556
