Restaurant ID,Restaurant Name,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
18369105,Funk House Cafe,Faridabad,Sector 28,77.31297973,28.43892133,"Cafe, Italian, Salad",650,No,Yes,2,2.6,15
18369301,Aditya's Kulcha Express,New Delhi,Punjabi Bagh,77.1331919,28.6700104,Street Food,250,No,Yes,1,3.3,18
18369743,Bella Cucina - Le Meridien Gurgaon,Gurgaon,"Le Meridien Gurgaon, MG Road",77.1087258,28.4812481,Italian,4000,Yes,No,4,4.1,38
18369756,Bun Intended,New Delhi,Vasant Kunj,77.16529693,28.52331992,"Burger, American, Fast Food",850,No,Yes,2,3.8,123
18369763,Instapizza,New Delhi,Jangpura,77.2488222,28.5853611,"Pizza, Fast Food",900,No,Yes,2,3.9,55
18369767,Flirty Momo's,New Delhi,Rajinder Nagar,77.1842572,28.6362165,Chinese,350,No,No,1,3.1,12
18369771,The Sunset,New Delhi,Rajinder Nagar,77.1846194,28.6407597,Mughlai,500,No,Yes,2,2.6,7
18369772,Dimsum Vs Sushi,New Delhi,Punjabi Bagh,77.14631662,28.66921407,"Japanese, Chinese",800,No,Yes,2,3.4,24
18369780,Caf�� Foreground,New Delhi,Rajouri Garden,77.1193188,28.6470325,"Cafe, Asian, Italian, North Indian",1500,Yes,Yes,3,4.2,91
18369872,Monosoz,New Delhi,Adchini,77.19804244,28.53839431,Pizza,300,No,Yes,1,3.7,66
18370372,Cafe Onion Rings,Noida,Sector 44,77.3382907,28.56470841,"North Indian, Chinese, Fast Food",500,No,No,2,2.9,52
18370586,Mughlai Flavours,New Delhi,Delhi University-GTB Nagar,77.2050359,28.6944781,Mughlai,300,No,Yes,1,3.2,17
18370702,Mutfi,Noida,Sector 41,77.3603093,28.5613668,"North Indian, Seafood, Bengali",600,No,Yes,2,3.3,15
18371289,Flavourz,New Delhi,Lajpat Nagar 1,77.242238,28.578557,Fast Food,150,No,Yes,1,3.3,6
18371341,Mazzo,Ahmedabad,Vastrapur,72.5281083,23.0418026,"Cafe, American, Continental, Armenian, Fast Food",550,No,Yes,2,3.9,166
18371395,The Chickmunks Caf��,Noida,Sector 50,77.3623092,28.5706018,"Fast Food, Cafe, Italian, North Indian, Chinese",550,No,Yes,2,3.2,48
18371401,Chicken Addiction,New Delhi,Rajouri Garden,77.12061569,28.64112418,North Indian,500,No,Yes,2,3.1,21
18371402,Cinnabon & Auntie Anne's,Noida,"Logix City Centre, Sector 32, Noida",77.3539094,28.574221,"Desserts, Beverages",500,No,No,2,3.1,6
18371404,Baking Bad,Gurgaon,DLF Phase 4,77.0813069,28.4666333,"Italian, Pizza",1000,No,Yes,3,3.7,98
18371408,Instapizza After Hours,New Delhi,Vasant Vihar,77.161681,28.572131,"Pizza, Fast Food",900,No,Yes,2,3.5,21
